Date,Open,High,Low,Close,Adj Close,Volume
8/1/2005,12.1,12.39,10.97,11.91,11.91,137104800
9/1/2005,11.9,13.47,11.51,13.3,13.3,233684300
10/1/2005,13.37,13.76,12.37,12.99,12.99,244439300
11/1/2005,12.99,14.82,12.79,14.26,14.26,226352600
12/1/2005,14.44,14.63,12.96,13.31,13.31,188606700
1/1/2006,13.48,14.96,13.34,14.68,14.68,185622400
2/1/2006,14.58,17.15,14.5,15.51,15.51,233631400
3/1/2006,15.61,16.23,14.32,14.72,14.72,267798700
4/1/2006,14.94,17.42,14.8,16.969999,16.969999,251464000
5/1/2006,16.969999,17.49,15.1,16.559999,16.559999,189244700
6/1/2006,16.389999,16.959999,14.81,15.06,15.06,265987700
7/1/2006,15.06,15.9,13.98,15.59,15.59,166349700
8/1/2006,15.51,17.59,15.15,17.280001,17.280001,149248800
9/1/2006,17.379999,18.65,16.700001,17.4,17.4,230760500
10/1/2006,17.51,18.17,14.14,14.45,14.45,338915500
11/1/2006,14.41,15.26,13.51,14.6,14.6,272936500
12/1/2006,14.67,15.05,13.12,13.96,13.96,246661400
1/1/2007,14.14,14.31,12.79,12.95,12.95,245040400
2/1/2007,12.91,13.25,11.76,11.86,11.86,285701400
3/1/2007,11.75,12.2,11.22,12.08,12.08,357784700
4/1/2007,12.13,12.25,10.88,11.47,11.47,518097800
5/1/2007,11.4,12.66,11.13,12.18,12.18,530188900
6/1/2007,12.3,13.26,11.73,12.53,12.53,543271200
7/1/2007,12.7,14.2,11.74,11.87,11.87,567230000
8/1/2007,11.79,12.65,10.3,11.45,11.45,496878900
9/1/2007,11.5,11.77,10.33,11.1,11.1,324155000
10/1/2007,11.26,11.92,9.37,10.51,10.51,485720800
11/1/2007,10.47,10.62,7.82,8.32,8.32,355878600
12/1/2007,8.41,9.31,7.11,7.25,7.25,269149900
1/1/2008,7.23,7.28,5.47,6.99,6.99,481054600
2/1/2008,7.12,8.13,6.49,7.52,7.52,418671900
3/1/2008,7.5,7.67,5.42,5.97,5.97,507736500
4/1/2008,6.11,8.06,5.77,7.72,7.72,601440000
5/1/2008,7.7,8.97,7.68,8.07,8.07,409927900
6/1/2008,8.1,8.63,5.91,6,6,415690400
7/1/2008,5.92,6.04,4.42,4.83,4.83,515616300
8/1/2008,4.83,5.44,4.21,4.24,4.24,317602400
9/1/2008,4.31,5.2,3.61,4.05,4.05,555853700
10/1/2008,4.09,5.01,3.25,4.71,4.71,621894000
11/1/2008,4.71,5.17,1.59,2.74,2.74,406346200
12/1/2008,2.7,3,1.75,2.64,2.64,484013700
1/1/2009,2.65,3.86,2.63,3.72,3.72,446419600
2/1/2009,3.76,4.4,2.69,3.22,3.22,463395300
3/1/2009,3.13,4.35,2.55,4.06,4.06,424726100
4/1/2009,3.94,5.28,3.78,4.88,4.88,659980500
5/1/2009,4.7,5.64,4.18,5.06,5.06,392755500
6/1/2009,5.23,5.93,4.75,5.06,5.06,452830000
7/1/2009,5.13,6.47,4.55,6.39,6.39,419772900
8/1/2009,6.47,7.58,6.39,7.37,7.37,401431900
9/1/2009,7.37,8.8,6.93,8.2,8.2,536626600
10/1/2009,8.12,9.13,6.69,6.79,6.79,663009700
11/1/2009,6.88,7.78,6.12,7.52,7.52,422329600
12/1/2009,7.63,10.87,7.56,10.56,10.56,588786800
1/1/2010,10.82,11.34,8.57,8.72,8.72,668676800
2/1/2010,8.84,9.5,8.18,9.06,9.06,551631400
3/1/2010,9.24,10.9,9.17,10.37,10.37,619092800
4/1/2010,11.03,11.4,9.33,9.35,9.35,844384400
5/1/2010,9.42,9.94,7.32,9.09,9.09,833118900
6/1/2010,8.94,10.29,8.27,8.49,8.49,808434800
7/1/2010,8.51,9,7.26,7.28,7.28,728580600
8/1/2010,7.39,7.8,6.36,6.46,6.46,616705300
9/1/2010,6.64,7.55,6.5,7.21,7.21,730259300
10/1/2010,7.28,8.27,6.76,8.26,8.26,747644500
11/1/2010,8.29,8.78,7.09,7.27,7.27,692805100
12/1/2010,7.45,8.38,7.32,8.02,8.02,598090500
1/1/2011,8.14,10.77,8.14,10.54,10.54,926674800
2/1/2011,10.67,11.95,10.27,11.13,11.13,788998000
3/1/2011,11.2,11.89,9.65,11.47,11.47,1003912500
4/1/2011,11.53,11.83,10.26,11.32,11.32,628360300
5/1/2011,11.37,11.41,9.43,10.2,10.2,705617100
6/1/2011,10.03,10.03,7.2,7.48,7.48,989750200
7/1/2011,7.46,8.2,7.13,7.37,7.37,650485200
8/1/2011,7.57,7.59,5.18,5.91,5.91,958586500
9/1/2011,5.94,7.42,5.01,5.04,5.04,949829500
10/1/2011,4.96,5.9,3.97,5.59,5.59,740388000
11/1/2011,5.39,7,5.06,5.99,5.99,740194300
12/1/2011,5.96,6.55,5.31,6.29,6.29,543903200
1/1/2012,6.64,8.06,6.59,7.6,7.6,676873200
2/1/2012,7.74,9.16,7.6,8.55,8.55,615388000
3/1/2012,8.59,8.98,7.78,8.1,8.1,718809100
4/1/2012,8.17,8.25,6.4,6.59,6.59,712448200
5/1/2012,6.57,6.97,5.59,5.84,5.84,673277100
6/1/2012,5.7,6.32,5.3,6.31,6.31,577002400
7/1/2012,6.73,6.93,5.56,6.21,6.21,679890700
8/1/2012,6.31,6.98,6.07,6.21,6.21,503246400
9/1/2012,6.21,6.8,5.87,5.98,5.98,591177700
10/1/2012,6.07,6.1,5.16,5.43,5.43,474903000
11/1/2012,5.52,6.09,5.33,5.97,5.97,529045700
12/1/2012,6.02,6.9,5.9,6.34,6.34,476319100
1/1/2013,6.6,8.08,6.45,7.56,7.56,546271700
2/1/2013,7.65,8.5,7.63,8.38,8.38,568930700
3/1/2013,8.32,10.27,8.2,9.98,9.98,711683500
4/1/2013,9.97,10.22,9.04,9.42,9.42,656337500
5/1/2013,9.42,11.99,9.07,11.68,11.68,662546000
6/1/2013,11.74,14.53,11.41,14.33,14.33,920360200
7/1/2013,14.47,14.6,12.31,13.24,13.24,998110800
8/1/2013,13.38,15.07,13.05,13.57,13.57,771687100
9/1/2013,13.78,17.950001,13.7,17.469999,17.469999,924467300
10/1/2013,17.540001,18.85,16.17,17.68,17.68,1196947600
11/1/2013,17.75,21.309999,17.389999,21.1,21.1,809010000
12/1/2013,21.1,23.67,20.809999,21.75,21.75,808447200
1/1/2014,21.68,24.5,20.639999,23.040001,23.040001,762444500
2/1/2014,23,25.68,22.65,24.190001,24.190001,618266700
3/1/2014,23.860001,25.15,21.700001,23.66,23.66,570749200
4/1/2014,23.84,26.620001,21.02,26.120001,26.120001,786192500
5/1/2014,26.209999,29.030001,25.25,28.59,28.59,490841500
6/1/2014,28.610001,33.049999,28.049999,32.950001,32.950001,612433700
7/1/2014,33.240002,34.849998,29.85,30.549999,30.549999,595653200
8/1/2014,30.879999,33.700001,29.379999,32.599998,32.599998,418369900
9/1/2014,32.43,34.849998,29.73,34.259998,34.259998,523512600
10/1/2014,34.25,34.400002,26.32,33.09,33.09,774234700
11/1/2014,33.189999,36.220001,31.690001,35.950001,35.950001,326389500
12/1/2014,35.98,36.59,32.369999,35.009998,35.009998,359420900
1/1/2015,35.240002,35.52,28.51,29.27,29.27,610045600
2/1/2015,29.25,32.84,28.09,30.67,30.67,434426600
3/1/2015,31.08,31.5,25.610001,27.129999,27.129999,544654100
4/1/2015,27.129999,29.780001,26.4,28.129999,28.129999,436295800
5/1/2015,28.309999,29.25,26.01,27.93,27.93,429768300
6/1/2015,27.959999,28.530001,18.549999,18.84,18.84,703875600
7/1/2015,19.049999,20.57,17.139999,18.51,18.51,863792200
8/1/2015,18.610001,19.469999,13.5,16.41,16.41,699056400
9/1/2015,15.8,17.969999,13.92,14.98,14.98,541386300
10/1/2015,14.99,19.299999,14.5,16.559999,16.559999,697155500
11/1/2015,16.959999,18.049999,14.65,15.93,15.93,370952400
12/1/2015,16.18,16.629999,13.51,14.16,14.16,503509000
1/1/2016,13.83,15.08,9.31,11.03,11.03,650993700
2/1/2016,11,11.75,9.45,10.63,10.63,461446600
3/1/2016,10.77,12.29,10.01,10.47,10.47,527818500
4/1/2016,10.28,12.41,10.05,10.75,10.75,517951000
5/1/2016,10.8,12.91,9.35,12.72,12.72,561747100
6/1/2016,12.61,14.16,11.58,13.76,13.76,697480700
7/1/2016,12.58,14.89,11.5,13.74,13.74,612699700
8/1/2016,13.81,17.25,13.02,16.49,16.49,529876300
9/1/2016,16.610001,18.16,16.299999,17.780001,17.780001,541893500
10/1/2016,17.99,18.33,16.17,17.16,17.16,539021800
